,tree_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,init_time,init_snap,inf_time,inf_snap,rs,rhos
0,9,17.797852,-851.5039,291.9209,75.67024,287.19296,-170.975,11.07588397178954,4.642161998661766,42,7.435457580781714,60,8.001982351484282,14348831.49683327
1,15,-296.2373,-76.524414,216.52246,245.35365,75.576225,-366.3535,6.162129850700115,5.709588606856291,49,6.056697650557152,51,4.486089431017181,27967830.785736453
2,17,-713.917,139.00977,-7.6777344,267.60425,-32.199238,-120.38505,7.736491424902935,6.33884021811047,53,7.623867997384209,61,4.958355656727665,24193284.231775474
3,19,87.26758,-378.60352,121.0791,-59.66572,236.87425,-283.77713,4.232274349157459,3.731898415274796,36,4.965495393526235,44,7.287850899328529,10130116.424844243
4,21,225.41504,360.22852,-66.67676,-141.14249,-69.03893,-283.37314,3.9865191369272104,5.415456570160442,47,6.504937136245459,54,4.569020472752127,22546778.597260807
5,26,82.65625,-355.18457,-123.93457,-138.32983,292.1018,289.67557,7.7179684060352685,5.709588606856291,49,6.176295889028056,52,8.338061330186195,7685528.596491844
6,31,-290.6543,-108.36133,251.61719,280.734,83.77815,-394.27048,2.6198972598408963,6.674596095958185,55,6.980079740079797,57,4.518117330530218,16724686.816291243
7,33,-361.07275,-234.11816,71.25098,329.26437,194.58594,-101.0614,2.2710263641105137,4.801402075884571,43,5.415456570160442,47,5.147735699187663,11562066.080650719
8,40,-19.721191,-459.59375,308.03223,-199.59111,266.0359,-164.70784,12.913554123731219,5.709588606856291,49,7.623867997384209,61,10.352753289178311,7653323.80735037
9,44,-665.8667,-87.0459,88.90625,209.44563,184.48827,-84.39556,5.081540052257951,5.560850769114366,48,7.435457580781714,60,6.35056463370003,8872479.784640506
10,45,-229.85889,-266.6953,-180.75,175.55934,276.36642,292.1069,1.8159703304537427,6.056697650557152,51,6.504937136245459,54,4.088182548984599,13459350.349731999
11,49,-126.484375,269.36523,-158.4414,235.4838,2.647791,-24.894394,2.3630498115172385,2.374352821664743,27,2.9697302481753507,31,6.615380591177684,8799769.533429734
12,55,-104.5,-615.15234,167.97852,103.193985,363.6516,52.375526,128.7613725957879,5.861713277008011,50,7.623867997384209,61,37.76133287017461,2734023.3344991244
13,56,93.74072,-357.55273,161.01465,-205.4015,271.87262,-50.340042,0.6289799497794147,3.8888798948366885,37,5.273362816372702,46,2.73700300052804,19577865.082006477
14,68,-111.16138,-319.9048,100.78027,112.99104,285.2633,67.5236,2.357234531072589,3.1179038030602504,32,4.487690799315245,41,4.116812602190486,22510476.39087918
15,69,-151.47827,-227.52832,55.875977,208.08015,255.30954,-27.449257,1.2625368921884155,3.2730853173741568,33,3.8888798948366885,37,3.679830804044798,21064095.97094979
16,73,243.12744,195.25488,86.72266,-313.00998,86.9581,-58.696327,0.7131419017809768,4.801402075884571,43,5.273362816372702,46,3.2326087879263103,13065980.82207473
17,74,-392.9829,27.438477,176.07227,336.12817,46.423935,-56.81655,1.224736689394964,6.33884021811047,53,6.980079740079797,57,3.303637558232288,15884517.394663766
18,82,-135.00269,-476.1079,-34.229492,110.45013,191.58571,90.980156,1.925009346515125,2.9697302481753507,31,5.560850769114366,48,1.9466060026335048,73774649.73218456
19,85,-743.48364,-119.953125,168.60547,152.72887,96.2905,-233.93192,1.1926980929491546,3.731898415274796,36,7.296498182351309,59,4.251762352151049,12442500.187044699
20,91,-363.77686,146.56152,69.40527,147.80257,94.553215,-319.58072,0.46302531720756396,2.6745885931843203,29,4.192701039587177,39,2.200143031997718,34331074.82876215
21,95,-88.103516,127.84668,-152.16211,63.909554,201.58273,287.32922,1.538338160000968,3.580853121612739,35,4.024363722579251,38,5.310331672409616,9445738.260325167
22,96,-206.50122,-699.00684,-367.1543,146.50853,133.37305,130.9436,4.136966047013865,3.4355619616722453,34,7.435457580781714,60,5.1946233941959745,15608868.928303914
23,101,12.416504,-372.43848,-10.544922,-248.03226,367.4087,-59.520096,0.787449949499355,6.674596095958185,55,7.114347722585295,58,3.1889092597104094,18110205.436728608
24,102,-39.154785,349.30664,-177.7373,308.92285,28.215834,22.120575,0.7415728509901265,3.731898415274796,36,5.273362816372702,46,2.934009830847273,17137300.91483072
25,106,142.48145,-48.793457,-23.485352,-212.30028,143.08144,-50.82773,2.068294548235145,1.9361870776816503,24,2.6745885931843203,29,5.504871827168838,12998457.45654763
26,109,52.324463,145.21973,-164.6416,198.03014,1.8765945,-52.527573,2.1743719860062263,3.1179038030602504,32,4.192701039587177,39,7.333595632738977,6073347.186136543
27,110,91.51318,-419.72656,208.99707,-134.61465,309.44714,-126.959625,0.5846105214590023,4.279277819981846,40,5.415456570160442,47,2.7157790833376065,16013861.0764434
28,111,174.73315,221.56738,-120.58203,111.105156,23.383226,137.53564,0.5375487652365564,4.024363722579251,38,4.642161998661766,42,1.6670153093698896,56973372.73263012
29,119,-64.15967,-295.06738,22.40625,138.21262,312.18808,-39.130116,2.381249905899629,3.2730853173741568,33,3.8888798948366885,37,4.719757377869487,16008126.428574586
30,121,-82.72705,-49.13086,-123.51465,33.325138,261.12534,256.39337,0.9727893341668137,2.9697302481753507,31,3.1179038030602504,32,2.8736147745719145,24194614.879556373
31,122,-246.22803,-662.978,-475.7588,55.568096,154.60168,215.12029,1.1308824273383402,3.1179038030602504,32,7.767525915144444,62,2.3684954348802716,45966262.517843895
32,123,-110.52759,-518.79443,108.487305,105.43778,304.60553,-99.514824,0.7732883469700145,3.2730853173741568,33,5.100321072369769,45,4.148465038214654,9745220.08990973
33,130,167.93848,-334.74463,206.31543,-140.77046,99.42034,-240.7567,0.6830956262228656,2.8282978179355154,30,5.273362816372702,46,2.2544362484247906,34280555.31835016
34,133,-218.64258,27.493652,120.18555,35.0201,45.12288,-264.96704,1.4071144957721216,1.533588501394217,21,2.9697302481753507,31,3.951899192793023,21670139.34068206
35,141,-169.87354,-354.65918,259.16602,-17.499287,321.04974,-162.81187,2.702120697037252,5.861713277008011,50,6.804179765943705,56,5.959086716936451,8871776.322486473
36,142,-206.08789,-601.33594,-509.3086,-45.54936,113.541725,139.72423,0.6953187579421614,2.136877449159822,25,6.674596095958185,55,4.958907255521475,6697630.705799205
37,148,-83.5,-246.56934,-93.293945,-87.60731,430.25903,-172.57504,0.24306270834756946,5.709588606856291,49,5.861713277008011,50,1.9479331052642623,21786173.82700267
38,150,-446.3496,284.9209,24.791992,217.1112,11.312275,-155.15126,2.4164117188590235,2.8282978179355154,30,4.279277819981846,40,8.303022325797135,4821565.432909895
39,151,-1055.8936,-134.93555,50.385742,246.73984,224.69962,61.51104,0.4535483634679551,3.731898415274796,36,7.623867997384209,61,2.2902272323029322,25868518.73831741
40,156,-80.47119,-260.67383,-44.084473,-38.57376,205.88203,124.88166,1.3390526611051061,1.8042623342638673,23,2.374352821664743,27,5.014437365726711,11508911.037523765
41,159,-265.7672,-660.5171,-557.1138,70.91317,161.01407,164.94954,0.37331720316413586,1.6812145133517211,22,7.623867997384209,61,2.308360577424888,27894036.967019293
42,162,430.7129,-610.041,39.22754,-90.591125,246.4972,92.97452,0.7636498869926063,2.6745885931843203,29,7.623867997384209,61,2.5818518846448457,29949119.94635016
43,163,-36.959473,-224.20459,207.75537,-110.70056,91.59242,-174.51433,1.7383776479743032,1.6812145133517211,22,2.9697302481753507,31,3.5780188993086033,29264673.825808953
44,164,-182.27173,-559.0,105.52734,66.06613,237.0161,-77.9435,0.7053341684631447,2.528971749262569,28,5.100321072369769,45,4.638417955537748,7807847.73231412
45,173,-165.05249,27.436035,-19.939453,179.52988,243.09348,30.48112,1.0222742118981865,2.374352821664743,27,2.6745885931843203,29,4.818477518594051,8915499.342733959
46,175,103.51099,-828.1782,-362.2461,-105.2566,226.67415,136.96523,0.823850138264136,2.6745885931843203,29,6.504937136245459,54,5.671277431528632,5013183.7487762645
47,180,19.509033,152.20215,-33.384766,293.4456,-37.23407,25.507063,0.3665863834090524,3.1179038030602504,32,3.2730853173741568,33,2.867293712075315,9729408.087133385
48,183,274.68213,-263.66992,203.60742,-216.62445,123.697586,-282.63022,0.34208626989280716,5.560850769114366,48,6.176295889028056,52,1.9819642256900454,21719040.385758348
49,186,22.36377,359.1582,-78.293945,101.7108,35.073593,223.13791,0.47524844892685975,3.8888798948366885,37,5.273362816372702,46,2.6418283708205013,15229606.584158119
50,193,97.6333,-369.99414,2.7167969,-219.31575,254.35582,-310.14575,0.2033240567416542,6.980079740079797,57,7.435457580781714,60,1.2001575778332647,43009344.91670915
51,198,-35.672363,-956.9219,-89.28711,-146.65158,357.651,50.157787,0.6355492193015374,4.024363722579251,38,6.504937136245459,54,2.8553204226474307,12803234.530481808
52,199,216.41455,-372.39258,285.75195,-215.24083,145.34218,-238.99435,0.1493699525287449,4.801402075884571,43,5.861713277008011,50,2.1394148209423878,12799557.792545091
53,204,-7.9680176,430.8081,-183.03027,-41.979214,67.22394,-78.791756,0.2803782824397193,2.136877449159822,25,6.056697650557152,51,2.391422276296073,18024067.657132573
54,214,27.090576,176.82227,2.6591797,283.59164,-67.63591,-27.97205,0.24451657245389333,3.580853121612739,35,4.192701039587177,39,2.4788524752211147,14107973.988684725
55,216,-316.67578,-1.1708984,92.09863,293.5684,-4.6849194,-298.28363,0.30746302370269074,4.279277819981846,40,4.801402075884571,43,2.312880608533822,14978089.034793764
56,220,-227.32056,121.23828,-64.50586,162.26236,57.711914,-216.81325,2.432134885649995,2.6745885931843203,29,3.580853121612739,35,5.012629739679348,16706827.584250042
57,221,-277.56934,-205.20312,-84.9834,353.0984,145.1503,-76.72807,0.2842552240598086,4.965495393526235,44,5.415456570160442,47,1.7942974399197162,25339737.18088959
58,223,-676.85596,-57.185547,423.7461,210.32011,131.8446,-279.75455,0.1393545200101809,5.861713277008011,50,7.623867997384209,61,2.1638351640749214,9296606.300676048
59,225,151.7688,-240.60645,75.48535,-198.78105,291.39783,-6.0634756,1.085005240838789,2.8282978179355154,30,3.731898415274796,36,1.7368929042096015,68769949.00169653
60,226,-117.69043,116.87549,-31.703125,24.658464,67.87471,-70.5413,0.7043111049780495,2.2289543449187157,26,2.8282978179355154,30,2.512424640438294,35020591.521212325
61,229,309.0869,-30.683594,-358.2246,-144.77628,98.34067,-140.01198,0.12040057953459202,8.882696126533009,69,8.060890532331136,64,1.427938420855841,20473204.862282805
62,233,-382.00146,-255.5039,-49.714844,328.09995,151.71758,-92.613396,0.27569363364998767,5.273362816372702,46,6.056697650557152,51,1.6920521344453185,29852908.008870877
63,235,-35.978516,-428.9453,-38.67578,-120.98653,284.7661,-192.41481,0.5789028091841755,5.861713277008011,50,6.980079740079797,57,4.2738745680390515,5628806.092014848
64,237,173.81323,-448.23926,158.55664,78.41222,241.08435,-253.91951,0.38677879867914117,3.4355619616722453,34,5.560850769114366,48,2.0297404419651026,23292053.873328842
65,242,-171.92334,-215.61816,-177.58203,-125.67655,384.9322,-105.76192,0.18167779936282233,6.980079740079797,57,7.296498182351309,59,1.7651344694372866,17935418.40088148
66,248,-619.97754,42.844727,108.39844,240.01202,57.634945,0.75793266,0.2661628298327252,4.965495393526235,44,6.804179765943705,56,2.4090410257001373,13785584.092425175
67,249,-784.813,-98.237305,84.46973,161.93105,192.00864,-80.86619,0.243547337048871,3.1179038030602504,32,7.435457580781714,60,1.7834852446091403,29202448.06993503
68,250,-59.739746,-342.63867,321.34277,-88.73327,346.7942,-139.71967,0.2221703080607263,5.273362816372702,46,6.176295889028056,52,1.5002802937328992,30143133.246007897
69,253,-957.74,-96.83203,118.67383,160.34808,142.61386,-68.99945,1.1988365618500485,2.9697302481753507,31,7.767525915144444,62,5.617570231989968,4963290.460645729
70,254,-314.03833,-488.10547,-449.54102,85.83729,227.47923,215.4456,0.18668552662089472,4.279277819981846,40,6.33884021811047,53,1.4356292597491662,30767190.001512256
71,259,66.05029,-515.60254,61.930664,-140.90742,283.13434,-264.1335,0.3643786842083206,5.709588606856291,49,7.296498182351309,59,2.4653676958530553,15398665.245091505
72,260,-297.6748,-45.49707,8.974609,40.799637,332.0144,-311.4332,0.12578522433986838,6.674596095958185,55,6.804179765943705,56,0.798625260368609,75894478.23362547
73,262,66.45557,57.203125,-196.37695,-196.77884,-215.52902,-100.83405,0.15426997963151012,5.100321072369769,45,4.965495393526235,44,1.649636791327114,20795423.15373567
74,268,168.8208,-745.1836,-12.722656,-140.69878,218.89133,97.8473,0.301163004568836,3.580853121612739,35,7.296498182351309,59,1.178320026519822,59158069.048773244
75,271,-55.9563,-744.3838,272.55273,121.81772,184.2669,-112.877655,0.4225328305072407,3.731898415274796,36,7.435457580781714,60,2.5213187549686684,20631135.676400244
76,278,-235.95898,-184.5415,-5.0898438,228.64656,145.99265,-2.0706182,0.4058942563913197,2.136877449159822,25,2.9697302481753507,31,2.423941433166581,27697236.449363038
77,281,-448.61597,-347.03906,33.34082,238.76816,299.96777,51.840656,0.6131491268282976,2.6745885931843203,29,4.024363722579251,38,4.300342389729174,9187037.530944604
78,285,-137.59888,507.22803,-245.86621,192.53087,-3.6815844,-109.64969,3.1161459631929715,2.374352821664743,27,4.024363722579251,38,3.651331011602313,36636131.17972409
79,286,135.24121,53.569336,276.23828,1.6582861,-205.84872,-155.73642,0.14285453308427584,6.056697650557152,51,6.33884021811047,53,1.3029680657762466,31221821.276816033
80,290,-316.03198,9.818359,7.9541016,330.19537,150.33359,109.76947,0.14888533482623376,4.192701039587177,39,4.642161998661766,42,2.5332722529945912,6683211.959001688
81,291,93.23047,333.89648,-90.47461,84.44696,-113.33369,-99.66858,0.4628099168969496,3.1179038030602504,32,4.192701039587177,39,2.4459173764255264,24790641.59852727
82,295,-39.397217,229.45605,-16.237305,76.465904,107.77765,135.89456,0.7589113441300597,3.1179038030602504,32,4.192701039587177,39,2.3479250826370794,25748350.734546475
83,296,-271.07422,120.61719,-4.129883,253.2327,70.92495,-136.1579,2.3600345591299297,2.528971749262569,28,3.1179038030602504,32,5.606697396764764,11755470.397979435
84,297,-102.79126,46.788574,-262.69434,-44.191704,193.3054,142.83992,0.15227765874381188,2.2289543449187157,26,3.2730853173741568,33,1.3369382266288283,39259954.05978404
85,300,-241.94897,215.07227,-146.28809,261.94824,143.76134,160.01663,0.14134684089787913,4.024363722579251,38,4.487690799315245,41,1.1936893237549369,38806930.17391983
86,301,-158.23877,-938.5908,-248.29492,-21.89658,368.10522,182.58655,0.8233116374876002,3.580853121612739,35,7.623867997384209,61,3.5038294743109675,13191579.387075623
87,304,-203.45312,158.91992,-80.5,294.17722,73.272484,-14.165819,0.1482391778895522,2.528971749262569,28,3.1179038030602504,32,1.1399698607699034,50062569.30945431
88,310,-102.58447,-988.83594,-242.59473,14.615036,294.31454,265.5202,0.21199332530920154,4.487690799315245,41,7.623867997384209,61,1.2990021304709327,42843319.032683045
89,312,87.64307,-226.40674,78.13086,-158.64133,123.39917,-362.52646,0.18426242710954854,3.1179038030602504,32,4.279277819981846,40,0.9767205032731959,66958759.84743542
90,313,-431.29688,-79.60547,-44.376953,316.90793,235.9481,-32.118687,0.165900804491778,6.674596095958185,55,7.114347722585295,58,1.9611830945466022,14821637.146586478
91,314,188.42578,-403.9131,222.71191,-34.80213,161.64876,-376.07657,0.12713138829088508,4.965495393526235,44,6.33884021811047,53,0.8464756368042063,67405987.26900947
92,315,-14.855225,465.4248,-156.47754,-154.08607,-35.583588,-107.422325,0.33481699335634935,2.9697302481753507,31,4.279277819981846,40,5.258121777761834,2435347.85717359
93,319,-357.7124,-422.2085,-837.6045,64.105934,211.66107,136.37064,0.2516781488350439,2.6745885931843203,29,6.33884021811047,53,3.5516459272748695,5673900.495941905
94,323,-159.42456,127.84863,-42.407227,406.51035,-79.737,-245.93088,0.314086143302467,3.580853121612739,35,3.731898415274796,36,3.4949083623435766,7954864.851114271
95,329,-345.59473,73.51611,-31.061523,219.29822,129.97935,-165.09453,0.4373944400509163,2.9697302481753507,31,3.731898415274796,36,2.586595652196246,17088671.604090385
96,332,-26.562012,-658.60645,-28.692383,185.57755,214.1096,-140.86581,0.08739273118557464,4.487690799315245,41,7.435457580781714,60,1.0962360751583395,37648251.030776076
97,335,-26.288574,-666.9663,-359.42285,-105.41218,243.61703,96.719154,1.0003048760510138,2.374352821664743,27,7.913199658557741,63,4.447484730753921,10339925.28018495
98,341,-256.11548,137.43994,-53.259766,247.00117,35.672146,40.183563,0.11388517108891331,2.136877449159822,25,2.8282978179355154,30,1.1266711258524487,51013665.734097
99,343,122.271484,-507.74414,155.47266,-160.63614,298.20276,-281.1896,0.16030077037467766,6.33884021811047,53,7.435457580781714,60,2.46288692462125,6534286.901257766
100,350,-113.79663,-131.05469,90.35156,-15.874842,38.06694,-206.54419,0.9907201781609363,1.6812145133517211,22,2.8282978179355154,30,4.402281704646784,11826556.282366654
101,351,-130.00464,-93.18457,-12.229492,209.98416,-142.56192,-62.51579,0.3005706757122273,4.279277819981846,40,4.024363722579251,38,1.861667319574967,33003349.179190505
102,352,160.53711,-106.34082,102.924805,-207.11903,78.56946,-308.41803,0.10150048913665673,3.1179038030602504,32,3.4355619616722453,34,1.3307649554961205,28125822.803002466
103,353,-217.80688,166.85254,-103.80469,303.8544,122.828674,69.81849,0.198262501403509,2.374352821664743,27,2.8282978179355154,30,2.3460431156924666,12750823.300546676
104,355,-479.67163,182.30322,75.348145,164.48906,46.73849,-51.852573,0.1795239502397441,1.8042623342638673,23,3.8888798948366885,37,0.7146536636306766,164839424.52443343
105,361,279.99854,-547.42285,-297.4121,-160.96922,244.89384,146.55067,0.2875937088985235,4.801402075884571,43,6.176295889028056,52,1.6179349919926054,25938113.150059614
